Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-500,"GREAT LAKES INSURANCE SE v. RAIDERS RETREAT REALTY CO., LLC",2/21/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,CThomas,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,SSotomayor,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,EKagan,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-807,ALEXANDER v. SOUTH CAROLINA STATE CONFERENCE OF THE NAACP,5/23/2024,KBJackson,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,JGRoberts,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,CThomas,Regular concurrence,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,SAAlito,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,SSotomayor,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,EKagan,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,NMGorsuch,Regular concurrence,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,BMKavanaugh,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,ACBarrett,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-585,CULLEY v. MARSHALL,5/9/2024,KBJackson,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,CThomas,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-611,LINDKE v. FREED,3/15/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,CThomas,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
