Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,EKagan,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,NMGorsuch,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-869,ANDY WARHOL FOUNDATION FOR THE VISUAL ARTS v. GOLDSMITH,5/18/2023,KBJackson,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,SAAlito,dissent,Petitioner,Respondent/Appellee won
